# Unconditional per-R nonexistence certificates for [4,16]/[2,4,16] on M_1(8,4)
# (Claude prod session 2026-07-18, target #3; see notes/claude_prod_03_416.md)
#
# For each listed R = a/b (and automatically its involution mirror 1/R via
# (R,w) -> (1/R,1/w)), BOTH genus-1 membership quartics
#   C_R^+ : y^2 = -(a+b)(b^2 w^2-a^2)(w+1)((a+3b)w-(3a+b))
#   C_R^- : y^2 =  (a+b)(w-1)((a+3b)w+(3a+b))(b^2(a^2+2ab-b^2)w^2+a^2(a^2-2ab-b^2))
# have 2-descent rank upper bound 0 (PARI ellrank r2 = 0, unconditional:
# Selmer - torsion - Cassels pairing), so all rational w on the fiber are
# images of torsion points of the two elliptic models.  Every such torsion
# image w (listed; in the event all 628 non-boundary images were non-degenerate)
# is killed by an audited all-twist kill residue (w:killP, sound: good
# reduction at P + residue proven incompatible with exponent-16 torsion for
# every twist; prime histogram 11:217 13:171 17:151 19:38 23:38 29:9 31:2 37:2).
# Hence NO rational w gives a [4,16] or [2,4,16] Jacobian over these fibers.
# Format: a b  w:status ...
-1 2  1/4:kill13
3 47  9/2209:kill17
15 47  225/2209:kill13
16 47  256/2209:kill19
40 47  1600/2209:kill11
44 47  1936/2209:kill17
-43 48  1849/2304:kill17
-5 48  25/2304:kill11
5 48  25/2304:kill19
-41 49  1681/2401:kill17
-37 49  1369/2401:kill11
-25 49  625/2401:kill11
-8 49  64/2401:kill37
-2 49  4/2401:kill23
-1 49  1/2401:kill11
2 49  4/2401:kill11
18 49  324/2401:kill11
23 49  529/2401:kill17
24 49  576/2401:kill11
25 49  625/2401:kill13
37 49  1369/2401:kill17
-49 50  2401/2500:kill17
-47 50  2209/2500:kill13
-39 50  1521/2500:kill17
-13 50  169/2500:kill11
-11 50  121/2500:kill17
-3 50  9/2500:kill17
-1 50  1/2500:kill19
11 50  121/2500:kill17
13 50  169/2500:kill23
27 50  729/2500:kill13
33 50  1089/2500:kill13
-37 51  1369/2601:kill13
19 51  361/2601:kill23
47 51  2209/2601:kill11
-1 52  1/2704:kill23
37 52  1369/2704:kill11
-51 53  2601/2809:kill19
-38 53  1444/2809:kill11
-27 53  729/2809:kill11
-25 53  625/2809:kill11
-20 53  400/2809:kill13
-7 53  49/2809:kill13
6 53  36/2809:kill11
15 53  225/2809:kill23
20 53  400/2809:kill17
39 53  1521/2809:kill11
43 53  1849/2809:kill11
45 53  2025/2809:kill13
-29 54  841/2916:kill11
-25 54  625/2916:kill17
-1 54  1/2916:kill13
1 54  1/2916:kill17
17 54  289/2916:kill19
31 54  961/2916:kill11
-38 55  1444/3025:kill13
-32 55  1024/3025:kill13
-9 55  81/3025:kill13
-6 55  36/3025:kill13
36 55  1296/3025:kill17
53 55  2809/3025:kill13
-31 56  961/3136:kill11
1 56  1/3136:kill13
31 56  961/3136:kill13
-55 57  3025/3249:kill17
-4 57  16/3249:kill17
-2 57  4/3249:kill13
2 57  4/3249:kill13
8 57  64/3249:kill17
55 57  3025/3249:kill13
-55 58  3025/3364:kill13
-23 58  529/3364:kill11
-15 58  225/3364:kill11
1 58  1/3364:kill13
17 58  289/3364:kill11
23 58  529/3364:kill13
25 58  625/3364:kill17
39 58  1521/3364:kill11
55 58  3025/3364:kill17
-58 59  3364/3481:kill11
-53 59  2809/3481:kill11
-52 59  2704/3481:kill17
-51 59  2601/3481:kill19
-48 59  2304/3481:kill17
-34 59  1156/3481:kill11
-30 59  900/3481:kill17
-15 59  225/3481:kill13
-13 59  169/3481:kill17
13 59  169/3481:kill11
25 59  625/3481:kill13
30 59  900/3481:kill11
32 59  1024/3481:kill11
37 60  1369/3600:kill13
-59 61  3481/3721:kill17
-49 61  2401/3721:kill13
-44 61  1936/3721:kill13
-35 61  1225/3721:kill11
-26 61  676/3721:kill17
-16 61  256/3721:kill13
17 61  289/3721:kill23
26 61  676/3721:kill11
39 61  1521/3721:kill17
53 61  2809/3721:kill11
-41 62  1681/3844:kill11
-27 62  729/3844:kill13
23 62  529/3844:kill11
41 62  1681/3844:kill19
-50 63  2500/3969:kill11
-31 63  961/3969:kill13
29 63  841/3969:kill19
31 63  961/3969:kill11
50 63  2500/3969:kill17
-59 64  3481/4096:kill11
-51 64  2601/4096:kill29
-47 64  2209/4096:kill11
-45 64  2025/4096:kill11
-43 64  1849/4096:kill13
-29 64  841/4096:kill13
-13 64  169/4096:kill23
35 64  1225/4096:kill13
51 64  2601/4096:kill11
59 64  3481/4096:kill13
61 64  3721/4096:kill11
-49 65  2401/4225:kill17
-46 65  2116/4225:kill11
-18 65  324/4225:kill11
-14 65  196/4225:kill19
14 65  196/4225:kill11
18 65  324/4225:kill17
46 65  2116/4225:kill29
49 65  2401/4225:kill11
-59 66  3481/4356:kill13
-49 66  2401/4356:kill13
-25 66  625/4356:kill19
49 66  2401/4356:kill13
59 66  3481/4356:kill23
-64 67  4096/4489:kill11
-61 67  3721/4489:kill17
-46 67  2116/4489:kill13
-37 67  1369/4489:kill11
-34 67  1156/4489:kill13
-30 67  900/4489:kill13
-24 67  576/4489:kill17
-18 67  324/4489:kill13
-13 67  169/4489:kill19
-2 67  4/4489:kill17
7 67  49/4489:kill11
10 67  100/4489:kill17
13 67  169/4489:kill11
18 67  324/4489:kill11
22 67  484/4489:kill13
23 67  529/4489:kill17
24 67  576/4489:kill11
31 67  961/4489:kill13
37 67  1369/4489:kill17
50 67  2500/4489:kill11
57 67  3249/4489:kill11
-55 68  3025/4624:kill23
-47 68  2209/4624:kill13
-3 68  9/4624:kill23
55 68  3025/4624:kill29
63 68  3969/4624:kill23
-64 69  4096/4761:kill11
-53 69  2809/4761:kill11
-50 69  2500/4761:kill29
-29 69  841/4761:kill13
1 69  1/4761:kill13
7 69  49/4761:kill11
53 69  2809/4761:kill13
56 69  3136/4761:kill17
-59 70  3481/4900:kill13
-53 70  2809/4900:kill11
-13 70  169/4900:kill17
-1 70  1/4900:kill11
1 70  1/4900:kill17
-69 71  4761/5041:kill11
-68 71  4624/5041:kill13
-67 71  4489/5041:kill11
-65 71  4225/5041:kill19
-61 71  3721/5041:kill17
-56 71  3136/5041:kill11
-52 71  2704/5041:kill17
-39 71  1521/5041:kill23
-38 71  1444/5041:kill13
-37 71  1369/5041:kill11
-25 71  625/5041:kill11
-24 71  576/5041:kill13
-22 71  484/5041:kill19
-20 71  400/5041:kill11
-18 71  324/5041:kill13
-16 71  256/5041:kill13
-9 71  81/5041:kill11
-7 71  49/5041:kill17
-5 71  25/5041:kill13
2 71  4/5041:kill11
9 71  81/5041:kill17
18 71  324/5041:kill11
20 71  400/5041:kill23
22 71  484/5041:kill19
33 71  1089/5041:kill17
37 71  1369/5041:kill13
39 71  1521/5041:kill23
61 71  3721/5041:kill17
62 71  3844/5041:kill11
-67 72  4489/5184:kill13
5 72  25/5184:kill13
-66 73  4356/5329:kill17
-46 73  2116/5329:kill11
-21 73  441/5329:kill11
-17 73  289/5329:kill11
-5 73  25/5329:kill19
10 73  100/5329:kill13
13 73  169/5329:kill17
21 73  441/5329:kill17
25 73  625/5329:kill11
33 73  1089/5329:kill13
43 73  1849/5329:kill17
58 73  3364/5329:kill11
65 73  4225/5329:kill19
-35 74  1225/5476:kill11
-15 74  225/5476:kill17
7 74  49/5476:kill19
39 74  1521/5476:kill17
51 74  2601/5476:kill13
-41 75  1681/5625:kill19
-22 75  484/5625:kill13
-17 75  289/5625:kill13
-16 75  256/5625:kill11
-13 75  169/5625:kill17
-11 75  121/5625:kill19
-7 75  49/5625:kill13
1 75  1/5625:kill13
13 75  169/5625:kill17
58 75  3364/5625:kill13
73 75  5329/5625:kill11
-53 76  2809/5776:kill31
-47 76  2209/5776:kill13
-45 76  2025/5776:kill13
-17 76  289/5776:kill11
-9 76  81/5776:kill13
11 76  121/5776:kill17
25 76  625/5776:kill11
31 76  961/5776:kill11
47 76  2209/5776:kill11
53 76  2809/5776:kill11
67 76  4489/5776:kill17
-58 77  3364/5929:kill13
-12 77  144/5929:kill17
-5 77  25/5929:kill17
12 77  144/5929:kill17
-71 78  5041/6084:kill11
-55 78  3025/6084:kill17
-50 79  2500/6241:kill11
-39 79  1521/6241:kill11
-34 79  1156/6241:kill23
-14 79  196/6241:kill17
-11 79  121/6241:kill23
-5 79  25/6241:kill17
-2 79  4/6241:kill13
2 79  4/6241:kill17
11 79  121/6241:kill13
41 79  1681/6241:kill23
46 79  2116/6241:kill17
49 79  2401/6241:kill11
56 79  3136/6241:kill11
62 79  3844/6241:kill13
-79 80  6241/6400:kill13
-61 80  3721/6400:kill17
-37 80  1369/6400:kill11
-3 80  9/6400:kill23
11 80  121/6400:kill17
13 80  169/6400:kill11
37 80  1369/6400:kill23
47 80  2209/6400:kill13
53 80  2809/6400:kill17
61 80  3721/6400:kill11
71 80  5041/6400:kill13
-74 81  5476/6561:kill13
-68 81  4624/6561:kill19
-67 81  4489/6561:kill11
-25 81  625/6561:kill11
-14 81  196/6561:kill11
-2 81  4/6561:kill17
14 81  196/6561:kill13
58 81  3364/6561:kill17
76 81  5776/6561:kill11
-57 82  3249/6724:kill17
-35 82  1225/6724:kill17
-29 82  841/6724:kill13
-3 82  9/6724:kill11
7 82  49/6724:kill11
57 82  3249/6724:kill11
59 82  3481/6724:kill17
67 82  4489/6724:kill17
75 82  5625/6724:kill13
79 82  6241/6724:kill11
-82 83  6724/6889:kill17
-79 83  6241/6889:kill11
-64 83  4096/6889:kill17
-49 83  2401/6889:kill13
-40 83  1600/6889:kill11
-37 83  1369/6889:kill13
-32 83  1024/6889:kill11
-31 83  961/6889:kill17
-24 83  576/6889:kill11
-22 83  484/6889:kill13
-21 83  441/6889:kill11
-20 83  400/6889:kill13
-11 83  121/6889:kill13
7 83  49/6889:kill13
31 83  961/6889:kill11
46 83  2116/6889:kill13
60 83  3600/6889:kill29
64 83  4096/6889:kill11
79 83  6241/6889:kill17
82 83  6724/6889:kill13
-81 85  6561/7225:kill19
-69 85  4761/7225:kill29
-56 85  3136/7225:kill23
-49 85  2401/7225:kill13
-47 85  2209/7225:kill13
7 85  49/7225:kill37
39 85  1521/7225:kill29
67 85  4489/7225:kill11
74 85  5476/7225:kill23
-27 86  729/7396:kill11
-13 86  169/7396:kill19
13 86  169/7396:kill19
33 86  1089/7396:kill13
-77 87  5929/7569:kill13
-73 87  5329/7569:kill11
-68 87  4624/7569:kill11
-55 87  3025/7569:kill13
-52 87  2704/7569:kill11
25 87  625/7569:kill11
38 87  1444/7569:kill11
53 87  2809/7569:kill11
73 87  5329/7569:kill13
-81 88  6561/7744:kill17
-67 88  4489/7744:kill17
3 88  9/7744:kill29
-86 89  7396/7921:kill11
-82 89  6724/7921:kill11
-76 89  5776/7921:kill17
-75 89  5625/7921:kill11
-74 89  5476/7921:kill13
-71 89  5041/7921:kill11
-55 89  3025/7921:kill19
-53 89  2809/7921:kill11
-45 89  2025/7921:kill13
-37 89  1369/7921:kill11
-30 89  900/7921:kill23
-29 89  841/7921:kill17
-26 89  676/7921:kill11
-24 89  576/7921:kill17
13 89  169/7921:kill11
15 89  225/7921:kill17
30 89  900/7921:kill11
45 89  2025/7921:kill13
53 89  2809/7921:kill13
86 89  7396/7921:kill13
31 90  961/8100:kill23
-76 91  5776/8281:kill17
-64 91  4096/8281:kill11
-46 91  2116/8281:kill17
-43 91  1849/8281:kill17
-32 91  1024/8281:kill17
-29 91  841/8281:kill17
-18 91  324/8281:kill17
6 91  36/8281:kill11
27 91  729/8281:kill23
32 91  1024/8281:kill11
51 91  2601/8281:kill11
83 91  6889/8281:kill11
-67 92  4489/8464:kill11
11 92  121/8464:kill13
55 92  3025/8464:kill13
59 92  3481/8464:kill17
-83 93  6889/8649:kill13
-67 93  4489/8649:kill11
-49 93  2401/8649:kill23
-25 93  625/8649:kill11
2 93  4/8649:kill11
58 93  3364/8649:kill13
67 93  4489/8649:kill17
70 93  4900/8649:kill13
-81 94  6561/8836:kill17
-79 94  6241/8836:kill11
-73 94  5329/8836:kill11
-67 94  4489/8836:kill17
-61 94  3721/8836:kill13
-43 94  1849/8836:kill11
-23 94  529/8836:kill17
-13 94  169/8836:kill11
-3 94  9/8836:kill17
15 94  225/8836:kill11
83 94  6889/8836:kill13
-94 95  8836/9025:kill11
-92 95  8464/9025:kill13
-89 95  7921/9025:kill17
-87 95  7569/9025:kill11
-54 95  2916/9025:kill11
-47 95  2209/9025:kill13
-32 95  1024/9025:kill11
-31 95  961/9025:kill17
28 95  784/9025:kill23
31 95  961/9025:kill11
54 95  2916/9025:kill17
58 95  3364/9025:kill11
64 95  4096/9025:kill11
66 95  4356/9025:kill13
94 95  8836/9025:kill13
-67 96  4489/9216:kill13
-13 96  169/9216:kill11
1 96  1/9216:kill11
-87 97  7569/9409:kill17
-69 97  4761/9409:kill11
-56 97  3136/9409:kill11
-53 97  2809/9409:kill17
-50 97  2500/9409:kill13
-17 97  289/9409:kill23
-14 97  196/9409:kill11
-9 97  81/9409:kill17
-3 97  9/9409:kill11
-2 97  4/9409:kill13
14 97  196/9409:kill13
16 97  256/9409:kill17
17 97  289/9409:kill11
19 97  361/9409:kill11
67 97  4489/9409:kill13
74 97  5476/9409:kill11
78 97  6084/9409:kill17
95 97  9025/9409:kill11
-95 98  9025/9604:kill11
-83 98  6889/9604:kill11
-25 98  625/9604:kill17
-5 98  25/9604:kill13
95 98  9025/9604:kill17
-80 99  6400/9801:kill13
-73 99  5329/9801:kill23
-59 99  3481/9801:kill13
-47 99  2209/9801:kill17
-26 99  676/9801:kill17
-8 99  64/9801:kill17
-4 99  16/9801:kill13
47 99  2209/9801:kill17
80 99  6400/9801:kill13
95 99  9025/9801:kill17
-69 100  4761/10000:kill11
-43 100  1849/10000:kill23
-17 100  289/10000:kill19
-9 100  81/10000:kill11
7 100  49/10000:kill11
9 100  81/10000:kill23
47 100  2209/10000:kill13
