NB n=-1 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=4
NB n=-19 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=-4 nbdigits=192
NB n=-20 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=-4 nbdigits=147
NB n=-20 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=199
NB n=-21 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=162
NB n=-21 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=256
NB n=-22 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=178
NB n=-22 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=250
NB n=-23 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=253
NB n=-23 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=324
NB n=-24 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=215
NB n=-24 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=-4 nbdigits=324
NB n=-25 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=-4 nbdigits=279
NB n=-25 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=384
NB n=-26 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=301
NB n=-26 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=425
NB n=-27 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=365
NB n=-27 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=521
NB n=-28 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=403
NB n=-28 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=476
NB n=-29 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=476
NB n=-29 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=591
NB n=-30 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=452
NB n=-30 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=-4 nbdigits=474
NB n=-31 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=568
NB n=-31 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=645
NB n=-32 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=450
NB n=-32 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=535
NB n=-33 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=602
NB n=-33 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=698
NB n=-34 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=507
NB n=-34 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=679
NB n=-35 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=-4 nbdigits=680
NB n=-35 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=3 nbdigits=777
NB n=-36 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=-4 nbdigits=627
NB n=-36 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=807
NB n=-37 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=752
NB n=-37 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=819
NB n=-38 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=766
NB n=-38 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=906
NB n=-39 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=766
NB n=-39 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=937
NB n=-40 sg=1 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=865
NB n=-40 sg=0 seedtype=[2, 4] nbtype=[2, 4] nb2rank=1 guard=4 nbdigits=977
STATS neighbour factor types:
   [1, 1, 4] -> 1
   [2, 4] -> 73
SEEDS 74  NEIGHBOURS 74  RAISES 0
SEARCH_DONE b4neighbours NLIM=40
