collision	linear_sign	A	B	C	rho	sigma	D	K_A	K_B	K_C	K_D	leg_A	leg_B	leg_C	leg_D	status	normalized_collision_constants	constant_legendres
BD	-	23	30	4	4	4	1	1	0	8	0	1	0	1	0	deep_zero_factor	4,4	1,1
BD	+	23	30	4	4	27	30	19	8	11	8	1	1	-1	1	dead_nonsquare_unit		
BD	+	23	30	4	27	4	30	19	8	11	8	1	1	-1	1	dead_nonsquare_unit		
BD	-	23	30	4	27	27	1	1	0	8	0	1	0	1	0	deep_zero_factor	4,4	1,1
BD	+	24	1	22	2	2	1	2	3	9	3	1	-1	1	-1	dead_nonsquare_unit		
BD	-	24	1	22	2	29	30	13	0	19	0	-1	0	1	0	dead_nonsquare_unit		
BD	-	24	1	22	29	2	30	13	0	19	0	-1	0	1	0	dead_nonsquare_unit		
BD	+	24	1	22	29	29	1	2	3	9	3	1	-1	1	-1	dead_nonsquare_unit		
CD	-	24	9	30	2	2	1	10	14	0	0	1	1	0	0	deep_zero_factor	23,23	-1,-1
CD	+	24	9	30	2	29	30	3	5	27	27	-1	1	-1	-1	dead_nonsquare_unit		
CD	+	24	9	30	29	2	30	3	5	27	27	-1	1	-1	-1	dead_nonsquare_unit		
CD	-	24	9	30	29	29	1	10	14	0	0	1	1	0	0	deep_zero_factor	23,23	-1,-1
CD	+	24	22	1	2	2	1	2	9	3	3	1	1	-1	-1	dead_nonsquare_unit		
CD	-	24	22	1	2	29	30	13	19	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	-	24	22	1	29	2	30	13	19	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	+	24	22	1	29	29	1	2	9	3	3	1	1	-1	-1	dead_nonsquare_unit		
BD	-	24	30	9	2	2	1	10	0	14	0	1	0	1	0	deep_zero_factor	23,23	-1,-1
BD	+	24	30	9	2	29	30	3	27	5	27	-1	-1	1	-1	dead_nonsquare_unit		
BD	+	24	30	9	29	2	30	3	27	5	27	-1	-1	1	-1	dead_nonsquare_unit		
BD	-	24	30	9	29	29	1	10	0	14	0	1	0	1	0	deep_zero_factor	23,23	-1,-1
BD	+	25	1	5	11	11	1	26	2	6	2	-1	1	-1	1	dead_nonsquare_unit		
BD	-	25	1	5	11	20	30	24	0	4	0	-1	0	1	0	dead_nonsquare_unit		
BD	-	25	1	5	20	11	30	24	0	4	0	-1	0	1	0	dead_nonsquare_unit		
BD	+	25	1	5	20	20	1	26	2	6	2	-1	1	-1	1	dead_nonsquare_unit		
CD	+	25	5	1	11	11	1	26	6	2	2	-1	-1	1	1	dead_nonsquare_unit		
CD	-	25	5	1	11	20	30	24	4	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	-	25	5	1	20	11	30	24	4	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	+	25	5	1	20	20	1	26	6	2	2	-1	-1	1	1	dead_nonsquare_unit		
CD	-	25	26	30	11	11	1	16	18	0	0	1	1	0	0	deep_zero_factor	24,24	-1,-1
CD	+	25	26	30	11	20	30	10	27	22	22	1	-1	-1	-1	dead_nonsquare_unit		
CD	+	25	26	30	20	11	30	10	27	22	22	1	-1	-1	-1	dead_nonsquare_unit		
CD	-	25	26	30	20	20	1	16	18	0	0	1	1	0	0	deep_zero_factor	24,24	-1,-1
BD	-	25	30	26	11	11	1	16	0	18	0	1	0	1	0	deep_zero_factor	24,24	-1,-1
BD	+	25	30	26	11	20	30	10	22	27	22	1	-1	-1	-1	dead_nonsquare_unit		
BD	+	25	30	26	20	11	30	10	22	27	22	1	-1	-1	-1	dead_nonsquare_unit		
BD	-	25	30	26	20	20	1	16	0	18	0	1	0	1	0	deep_zero_factor	24,24	-1,-1
BD	+	26	1	6	11	11	1	13	6	15	6	-1	-1	-1	-1	dead_nonsquare_unit		
BD	-	26	1	6	11	20	30	4	0	24	0	1	0	-1	0	dead_nonsquare_unit		
BD	-	26	1	6	20	11	30	4	0	24	0	1	0	-1	0	dead_nonsquare_unit		
BD	+	26	1	6	20	20	1	13	6	15	6	-1	-1	-1	-1	dead_nonsquare_unit		
CD	+	26	6	1	11	11	1	13	15	6	6	-1	-1	-1	-1	dead_nonsquare_unit		
CD	-	26	6	1	11	20	30	4	24	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	-	26	6	1	20	11	30	4	24	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	+	26	6	1	20	20	1	13	15	6	6	-1	-1	-1	-1	dead_nonsquare_unit		
CD	-	26	25	30	11	11	1	18	16	0	0	1	1	0	0	deep_zero_factor	24,24	-1,-1
CD	+	26	25	30	11	20	30	27	10	22	22	-1	1	-1	-1	dead_nonsquare_unit		
CD	+	26	25	30	20	11	30	27	10	22	22	-1	1	-1	-1	dead_nonsquare_unit		
CD	-	26	25	30	20	20	1	18	16	0	0	1	1	0	0	deep_zero_factor	24,24	-1,-1
BD	-	26	30	25	11	11	1	18	0	16	0	1	0	1	0	deep_zero_factor	24,24	-1,-1
BD	+	26	30	25	11	20	30	27	22	10	22	-1	-1	1	-1	dead_nonsquare_unit		
BD	+	26	30	25	20	11	30	27	22	10	22	-1	-1	1	-1	dead_nonsquare_unit		
BD	-	26	30	25	20	20	1	18	0	16	0	1	0	1	0	deep_zero_factor	24,24	-1,-1
BD	+	27	1	23	4	4	1	29	11	23	11	-1	-1	-1	-1	dead_nonsquare_unit		
BD	-	27	1	23	4	27	30	7	0	3	0	1	0	-1	0	dead_nonsquare_unit		
BD	-	27	1	23	27	4	30	7	0	3	0	1	0	-1	0	dead_nonsquare_unit		
BD	+	27	1	23	27	27	1	29	11	23	11	-1	-1	-1	-1	dead_nonsquare_unit		
AC	+	27	2	27	8	3	12	15	19	15	26	-1	1	-1	-1	dead_nonsquare_unit		
AC	+	27	2	27	8	28	19	1	13	1	30	1	-1	1	-1	dead_nonsquare_unit		
AC	+	27	2	27	23	3	19	1	13	1	30	1	-1	1	-1	dead_nonsquare_unit		
AC	+	27	2	27	23	28	12	15	19	15	26	-1	1	-1	-1	dead_nonsquare_unit		
AB	-	27	4	29	8	3	12	0	0	23	15	0	0	-1	-1	dead_nonsquare_unit		
AB	-	27	4	29	8	28	19	0	0	5	21	0	0	1	-1	dead_nonsquare_unit		
AB	-	27	4	29	23	3	19	0	0	5	21	0	0	1	-1	dead_nonsquare_unit		
AB	-	27	4	29	23	28	12	0	0	23	15	0	0	-1	-1	dead_nonsquare_unit		
CD	-	27	8	30	4	4	1	8	1	0	0	1	1	0	0	deep_zero_factor	27,27	-1,-1
CD	+	27	8	30	4	27	30	3	18	23	23	-1	1	-1	-1	dead_nonsquare_unit		
CD	+	27	8	30	27	4	30	3	18	23	23	-1	1	-1	-1	dead_nonsquare_unit		
CD	-	27	8	30	27	27	1	8	1	0	0	1	1	0	0	deep_zero_factor	27,27	-1,-1
CD	+	27	23	1	4	4	1	29	23	11	11	-1	-1	-1	-1	dead_nonsquare_unit		
CD	-	27	23	1	4	27	30	7	3	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	-	27	23	1	27	4	30	7	3	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	+	27	23	1	27	27	1	29	23	11	11	-1	-1	-1	-1	dead_nonsquare_unit		
AB	+	27	27	2	8	3	12	15	15	19	26	-1	-1	1	-1	dead_nonsquare_unit		
AB	+	27	27	2	8	28	19	1	1	13	30	1	1	-1	-1	dead_nonsquare_unit		
AB	+	27	27	2	23	3	19	1	1	13	30	1	1	-1	-1	dead_nonsquare_unit		
AB	+	27	27	2	23	28	12	15	15	19	26	-1	-1	1	-1	dead_nonsquare_unit		
AC	-	27	29	4	8	3	12	0	23	0	15	0	-1	0	-1	dead_nonsquare_unit		
AC	-	27	29	4	8	28	19	0	5	0	21	0	1	0	-1	dead_nonsquare_unit		
AC	-	27	29	4	23	3	19	0	5	0	21	0	1	0	-1	dead_nonsquare_unit		
AC	-	27	29	4	23	28	12	0	23	0	15	0	-1	0	-1	dead_nonsquare_unit		
BD	-	27	30	8	4	4	1	8	0	1	0	1	0	1	0	deep_zero_factor	27,27	-1,-1
BD	+	27	30	8	4	27	30	3	23	18	23	-1	-1	1	-1	dead_nonsquare_unit		
BD	+	27	30	8	27	4	30	3	23	18	23	-1	-1	1	-1	dead_nonsquare_unit		
BD	-	27	30	8	27	27	1	8	0	1	0	1	0	1	0	deep_zero_factor	27,27	-1,-1
BD	+	28	1	10	13	13	1	9	18	7	18	1	1	1	1	resolved_unit_square		
BD	-	28	1	10	13	18	30	18	0	17	0	1	0	-1	0	dead_nonsquare_unit		
BD	-	28	1	10	18	13	30	18	0	17	0	1	0	-1	0	dead_nonsquare_unit		
BD	+	28	1	10	18	18	1	9	18	7	18	1	1	1	1	resolved_unit_square		
CD	+	28	10	1	13	13	1	9	7	18	18	1	1	1	1	resolved_unit_square		
CD	-	28	10	1	13	18	30	18	17	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	-	28	10	1	18	13	30	18	17	0	0	1	-1	0	0	dead_nonsquare_unit		
CD	+	28	10	1	18	18	1	9	7	18	18	1	1	1	1	resolved_unit_square		
CD	-	28	21	30	13	13	1	2	5	0	0	1	1	0	0	deep_zero_factor	6,6	-1,-1
CD	+	28	21	30	13	18	30	4	13	26	26	1	-1	-1	-1	dead_nonsquare_unit		
CD	+	28	21	30	18	13	30	4	13	26	26	1	-1	-1	-1	dead_nonsquare_unit		
CD	-	28	21	30	18	18	1	2	5	0	0	1	1	0	0	deep_zero_factor	6,6	-1,-1
BD	-	28	30	21	13	13	1	2	0	5	0	1	0	1	0	deep_zero_factor	6,6	-1,-1
BD	+	28	30	21	13	18	30	4	26	13	26	1	-1	-1	-1	dead_nonsquare_unit		
BD	+	28	30	21	18	13	30	4	26	13	26	1	-1	-1	-1	dead_nonsquare_unit		
BD	-	28	30	21	18	18	1	2	0	5	0	1	0	1	0	deep_zero_factor	6,6	-1,-1
BD	+	29	1	15	14	14	1	5	30	10	30	1	-1	1	-1	dead_nonsquare_unit		
BD	-	29	1	15	14	17	30	15	0	1	0	-1	0	1	0	dead_nonsquare_unit		
BD	-	29	1	15	17	14	30	15	0	1	0	-1	0	1	0	dead_nonsquare_unit		
BD	+	29	1	15	17	17	1	5	30	10	30	1	-1	1	-1	dead_nonsquare_unit		
BC	-	29	4	27	8	3	12	23	0	0	15	-1	0	0	-1	dead_nonsquare_unit		
BC	-	29	4	27	8	28	19	5	0	0	21	1	0	0	-1	dead_nonsquare_unit		
BC	-	29	4	27	23	3	19	5	0	0	21	1	0	0	-1	dead_nonsquare_unit		
BC	-	29	4	27	23	28	12	23	0	0	15	-1	0	0	-1	dead_nonsquare_unit		
CD	+	29	15	1	14	14	1	5	10	30	30	1	1	-1	-1	dead_nonsquare_unit		
CD	-	29	15	1	14	17	30	15	1	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	-	29	15	1	17	14	30	15	1	0	0	-1	1	0	0	dead_nonsquare_unit		
CD	+	29	15	1	17	17	1	5	10	30	30	1	1	-1	-1	dead_nonsquare_unit		
CD	-	29	16	30	14	14	1	9	18	0	0	1	1	0	0	deep_zero_factor	21,21	-1,-1
CD	+	29	16	30	14	17	30	27	25	3	3	-1	1	-1	-1	dead_nonsquare_unit		
CD	+	29	16	30	17	14	30	27	25	3	3	-1	1	-1	-1	dead_nonsquare_unit		
CD	-	29	16	30	17	17	1	9	18	0	0	1	1	0	0	deep_zero_factor	21,21	-1,-1
BC	-	29	27	4	8	3	12	23	0	0	15	-1	0	0	-1	dead_nonsquare_unit		
BC	-	29	27	4	8	28	19	5	0	0	21	1	0	0	-1	dead_nonsquare_unit		
BC	-	29	27	4	23	3	19	5	0	0	21	1	0	0	-1	dead_nonsquare_unit		
BC	-	29	27	4	23	28	12	23	0	0	15	-1	0	0	-1	dead_nonsquare_unit		
BD	-	29	30	16	14	14	1	9	0	18	0	1	0	1	0	deep_zero_factor	21,21	-1,-1
BD	+	29	30	16	14	17	30	27	3	25	3	-1	-1	1	-1	dead_nonsquare_unit		
BD	+	29	30	16	17	14	30	27	3	25	3	-1	-1	1	-1	dead_nonsquare_unit		
BD	-	29	30	16	17	17	1	9	0	18	0	1	0	1	0	deep_zero_factor	21,21	-1,-1
AD	-	30	2	15	14	14	1	0	9	18	0	0	1	1	0	deep_zero_factor	10,10	1,1
AD	+	30	2	15	14	17	30	28	3	8	28	1	-1	1	1	dead_nonsquare_unit		
AD	+	30	2	15	17	14	30	28	3	8	28	1	-1	1	1	dead_nonsquare_unit		
AD	-	30	2	15	17	17	1	0	9	18	0	0	1	1	0	deep_zero_factor	10,10	1,1
AD	-	30	3	10	13	13	1	0	2	5	0	0	1	1	0	deep_zero_factor	25,25	1,1
AD	+	30	3	10	13	18	30	5	1	21	5	1	1	-1	1	dead_nonsquare_unit		
AD	+	30	3	10	18	13	30	5	1	21	5	1	1	-1	1	dead_nonsquare_unit		
AD	-	30	3	10	18	18	1	0	2	5	0	0	1	1	0	deep_zero_factor	25,25	1,1
AD	-	30	4	23	4	4	1	0	8	1	0	0	1	1	0	deep_zero_factor	4,4	1,1
AD	+	30	4	23	4	27	30	8	11	19	8	1	-1	1	1	dead_nonsquare_unit		
AD	+	30	4	23	27	4	30	8	11	19	8	1	-1	1	1	dead_nonsquare_unit		
AD	-	30	4	23	27	27	1	0	8	1	0	0	1	1	0	deep_zero_factor	4,4	1,1
AD	-	30	5	6	11	11	1	0	18	16	0	0	1	1	0	deep_zero_factor	7,7	1,1
AD	+	30	5	6	11	20	30	9	12	7	9	1	-1	1	1	dead_nonsquare_unit		
AD	+	30	5	6	20	11	30	9	12	7	9	1	-1	1	1	dead_nonsquare_unit		
AD	-	30	5	6	20	20	1	0	18	16	0	0	1	1	0	deep_zero_factor	7,7	1,1
AD	-	30	6	5	11	11	1	0	16	18	0	0	1	1	0	deep_zero_factor	7,7	1,1
AD	+	30	6	5	11	20	30	9	7	12	9	1	1	-1	1	dead_nonsquare_unit		
AD	+	30	6	5	20	11	30	9	7	12	9	1	1	-1	1	dead_nonsquare_unit		
AD	-	30	6	5	20	20	1	0	16	18	0	0	1	1	0	deep_zero_factor	7,7	1,1
AD	-	30	7	22	2	2	1	0	10	14	0	0	1	1	0	deep_zero_factor	8,8	1,1
AD	+	30	7	22	2	29	30	4	23	2	4	1	-1	1	1	dead_nonsquare_unit		
AD	+	30	7	22	29	2	30	4	23	2	4	1	-1	1	1	dead_nonsquare_unit		
AD	-	30	7	22	29	29	1	0	10	14	0	0	1	1	0	deep_zero_factor	8,8	1,1
AD	-	30	8	27	4	4	1	0	1	8	0	0	1	1	0	deep_zero_factor	27,27	-1,-1
AD	+	30	8	27	4	27	30	23	18	3	23	-1	1	-1	-1	dead_nonsquare_unit		
AD	+	30	8	27	27	4	30	23	18	3	23	-1	1	-1	-1	dead_nonsquare_unit		
AD	-	30	8	27	27	27	1	0	1	8	0	0	1	1	0	deep_zero_factor	27,27	-1,-1
AD	-	30	9	24	2	2	1	0	14	10	0	0	1	1	0	deep_zero_factor	23,23	-1,-1
AD	+	30	9	24	2	29	30	27	5	3	27	-1	1	-1	-1	dead_nonsquare_unit		
AD	+	30	9	24	29	2	30	27	5	3	27	-1	1	-1	-1	dead_nonsquare_unit		
AD	-	30	9	24	29	29	1	0	14	10	0	0	1	1	0	deep_zero_factor	23,23	-1,-1
AD	-	30	10	3	13	13	1	0	5	2	0	0	1	1	0	deep_zero_factor	25,25	1,1
AD	+	30	10	3	13	18	30	5	21	1	5	1	-1	1	1	dead_nonsquare_unit		
AD	+	30	10	3	18	13	30	5	21	1	5	1	-1	1	1	dead_nonsquare_unit		
AD	-	30	10	3	18	18	1	0	5	2	0	0	1	1	0	deep_zero_factor	25,25	1,1
AD	-	30	11	14	6	6	1	0	16	19	0	0	1	1	0	deep_zero_factor	13,13	-1,-1
AD	+	30	11	14	6	25	30	12	3	2	12	-1	-1	1	-1	dead_nonsquare_unit		
AD	+	30	11	14	25	6	30	12	3	2	12	-1	-1	1	-1	dead_nonsquare_unit		
AD	-	30	11	14	25	25	1	0	16	19	0	0	1	1	0	deep_zero_factor	13,13	-1,-1
AD	-	30	12	18	1	1	1	0	20	14	0	0	1	1	0	deep_zero_factor	16,16	1,1
AD	+	30	12	18	1	30	30	2	5	6	2	1	1	-1	1	dead_nonsquare_unit		
AD	+	30	12	18	30	1	30	2	5	6	2	1	1	-1	1	dead_nonsquare_unit		
AD	-	30	12	18	30	30	1	0	20	14	0	0	1	1	0	deep_zero_factor	16,16	1,1
AD	-	30	13	19	1	1	1	0	14	20	0	0	1	1	0	deep_zero_factor	15,15	-1,-1
AD	+	30	13	19	1	30	30	29	12	18	29	-1	-1	1	-1	dead_nonsquare_unit		
AD	+	30	13	19	30	1	30	29	12	18	29	-1	-1	1	-1	dead_nonsquare_unit		
AD	-	30	13	19	30	30	1	0	14	20	0	0	1	1	0	deep_zero_factor	15,15	-1,-1
AD	-	30	14	11	6	6	1	0	19	16	0	0	1	1	0	deep_zero_factor	13,13	-1,-1
AD	+	30	14	11	6	25	30	12	2	3	12	-1	1	-1	-1	dead_nonsquare_unit		
AD	+	30	14	11	25	6	30	12	2	3	12	-1	1	-1	-1	dead_nonsquare_unit		
AD	-	30	14	11	25	25	1	0	19	16	0	0	1	1	0	deep_zero_factor	13,13	-1,-1
AD	-	30	15	2	14	14	1	0	18	9	0	0	1	1	0	deep_zero_factor	10,10	1,1
AD	+	30	15	2	14	17	30	28	8	3	28	1	1	-1	1	dead_nonsquare_unit		
AD	+	30	15	2	17	14	30	28	8	3	28	1	1	-1	1	dead_nonsquare_unit		
AD	-	30	15	2	17	17	1	0	18	9	0	0	1	1	0	deep_zero_factor	10,10	1,1
AD	-	30	16	29	14	14	1	0	18	9	0	0	1	1	0	deep_zero_factor	21,21	-1,-1
AD	+	30	16	29	14	17	30	3	25	27	3	-1	1	-1	-1	dead_nonsquare_unit		
AD	+	30	16	29	17	14	30	3	25	27	3	-1	1	-1	-1	dead_nonsquare_unit		
AD	-	30	16	29	17	17	1	0	18	9	0	0	1	1	0	deep_zero_factor	21,21	-1,-1
AD	-	30	17	20	6	6	1	0	19	16	0	0	1	1	0	deep_zero_factor	18,18	1,1
AD	+	30	17	20	6	25	30	19	10	13	19	1	1	-1	1	dead_nonsquare_unit		
AD	+	30	17	20	25	6	30	19	10	13	19	1	1	-1	1	dead_nonsquare_unit		
AD	-	30	17	20	25	25	1	0	19	16	0	0	1	1	0	deep_zero_factor	18,18	1,1
AD	-	30	18	12	1	1	1	0	14	20	0	0	1	1	0	deep_zero_factor	16,16	1,1
AD	+	30	18	12	1	30	30	2	6	5	2	1	-1	1	1	dead_nonsquare_unit		
AD	+	30	18	12	30	1	30	2	6	5	2	1	-1	1	1	dead_nonsquare_unit		
AD	-	30	18	12	30	30	1	0	14	20	0	0	1	1	0	deep_zero_factor	16,16	1,1
AD	-	30	19	13	1	1	1	0	20	14	0	0	1	1	0	deep_zero_factor	15,15	-1,-1
AD	+	30	19	13	1	30	30	29	18	12	29	-1	1	-1	-1	dead_nonsquare_unit		
AD	+	30	19	13	30	1	30	29	18	12	29	-1	1	-1	-1	dead_nonsquare_unit		
AD	-	30	19	13	30	30	1	0	20	14	0	0	1	1	0	deep_zero_factor	15,15	-1,-1
AD	-	30	20	17	6	6	1	0	16	19	0	0	1	1	0	deep_zero_factor	18,18	1,1
AD	+	30	20	17	6	25	30	19	13	10	19	1	-1	1	1	dead_nonsquare_unit		
AD	+	30	20	17	25	6	30	19	13	10	19	1	-1	1	1	dead_nonsquare_unit		
AD	-	30	20	17	25	25	1	0	16	19	0	0	1	1	0	deep_zero_factor	18,18	1,1
AD	-	30	21	28	13	13	1	0	5	2	0	0	1	1	0	deep_zero_factor	6,6	-1,-1
AD	+	30	21	28	13	18	30	26	13	4	26	-1	-1	1	-1	dead_nonsquare_unit		
AD	+	30	21	28	18	13	30	26	13	4	26	-1	-1	1	-1	dead_nonsquare_unit		
AD	-	30	21	28	18	18	1	0	5	2	0	0	1	1	0	deep_zero_factor	6,6	-1,-1
AD	-	30	22	7	2	2	1	0	14	10	0	0	1	1	0	deep_zero_factor	8,8	1,1
AD	+	30	22	7	2	29	30	4	2	23	4	1	1	-1	1	dead_nonsquare_unit		
AD	+	30	22	7	29	2	30	4	2	23	4	1	1	-1	1	dead_nonsquare_unit		
AD	-	30	22	7	29	29	1	0	14	10	0	0	1	1	0	deep_zero_factor	8,8	1,1
AD	-	30	23	4	4	4	1	0	1	8	0	0	1	1	0	deep_zero_factor	4,4	1,1
AD	+	30	23	4	4	27	30	8	19	11	8	1	1	-1	1	dead_nonsquare_unit		
AD	+	30	23	4	27	4	30	8	19	11	8	1	1	-1	1	dead_nonsquare_unit		
AD	-	30	23	4	27	27	1	0	1	8	0	0	1	1	0	deep_zero_factor	4,4	1,1
AD	-	30	24	9	2	2	1	0	10	14	0	0	1	1	0	deep_zero_factor	23,23	-1,-1
AD	+	30	24	9	2	29	30	27	3	5	27	-1	-1	1	-1	dead_nonsquare_unit		
AD	+	30	24	9	29	2	30	27	3	5	27	-1	-1	1	-1	dead_nonsquare_unit		
AD	-	30	24	9	29	29	1	0	10	14	0	0	1	1	0	deep_zero_factor	23,23	-1,-1
AD	-	30	25	26	11	11	1	0	16	18	0	0	1	1	0	deep_zero_factor	24,24	-1,-1
AD	+	30	25	26	11	20	30	22	10	27	22	-1	1	-1	-1	dead_nonsquare_unit		
AD	+	30	25	26	20	11	30	22	10	27	22	-1	1	-1	-1	dead_nonsquare_unit		
AD	-	30	25	26	20	20	1	0	16	18	0	0	1	1	0	deep_zero_factor	24,24	-1,-1
AD	-	30	26	25	11	11	1	0	18	16	0	0	1	1	0	deep_zero_factor	24,24	-1,-1
AD	+	30	26	25	11	20	30	22	27	10	22	-1	-1	1	-1	dead_nonsquare_unit		
AD	+	30	26	25	20	11	30	22	27	10	22	-1	-1	1	-1	dead_nonsquare_unit		
AD	-	30	26	25	20	20	1	0	18	16	0	0	1	1	0	deep_zero_factor	24,24	-1,-1
AD	-	30	27	8	4	4	1	0	8	1	0	0	1	1	0	deep_zero_factor	27,27	-1,-1
AD	+	30	27	8	4	27	30	23	3	18	23	-1	-1	1	-1	dead_nonsquare_unit		
AD	+	30	27	8	27	4	30	23	3	18	23	-1	-1	1	-1	dead_nonsquare_unit		
AD	-	30	27	8	27	27	1	0	8	1	0	0	1	1	0	deep_zero_factor	27,27	-1,-1
AD	-	30	28	21	13	13	1	0	2	5	0	0	1	1	0	deep_zero_factor	6,6	-1,-1
AD	+	30	28	21	13	18	30	26	4	13	26	-1	1	-1	-1	dead_nonsquare_unit		
AD	+	30	28	21	18	13	30	26	4	13	26	-1	1	-1	-1	dead_nonsquare_unit		
AD	-	30	28	21	18	18	1	0	2	5	0	0	1	1	0	deep_zero_factor	6,6	-1,-1
AD	-	30	29	16	14	14	1	0	9	18	0	0	1	1	0	deep_zero_factor	21,21	-1,-1
AD	+	30	29	16	14	17	30	3	27	25	3	-1	-1	1	-1	dead_nonsquare_unit		
AD	+	30	29	16	17	14	30	3	27	25	3	-1	-1	1	-1	dead_nonsquare_unit		
AD	-	30	29	16	17	17	1	0	9	18	0	0	1	1	0	deep_zero_factor	21,21	-1,-1
